"Address","AirtableRecordId","ambasadorVerifyForm","AmbNameHeading","Country","created","DateFormula","DateStart","day of week","EventType","Latitude","LocationHeading","Longitude","RaceID","RaceName","RaceURL","State","TimeEnd","timeEnd12hr","TimeFormula","TimeStart","timeStart12hr"
,"rec1nMDZtxN7BU3uD",,,,,,,,,,,,,"TEST RACE NAME
",,,,,,,
"50 Lodge Rd SE
 Acworth, Georgia 30102
 United States","rec43murvnY8VRhZ2","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=recLPvp18XqrraOhl","Event by:","United States","10/29/2025 9:38 AM","3/8/2026","2026-03-08","Sun","Canicross Race","34.1543497","Location: Georgia","-84.7023329","3/8/2026","RACE AROUND RED TOP","https://nacanicross.com/race-around-red-top-26","Georgia",,,,,
"315 Rucker St
 Anniston, Alabama 36205
 United States","rec4G5ZeOMoprgej6","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=recrrU6B44aThNR99","Event by:","United States","10/29/2025 9:46 AM","########","2026-05-16","Sat","Canine OCR","33.706606","Location: Alabama","-85.7925739","5/16/2026","OneWorld Canine Obstacle Run Anniston, AL","https://oneworldcanineobstaclerun.itsyourrace.com/event.aspx?id=15636","Alabama",,,,,
"775 Meridian Rd.
 Valparaiso, Indiana 46383
 United States","rec4vUWNaCMf5O435","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=rechdXLbpQLZWUrnu","Event by:","United States","10/19/2025 11:52 PM","3/7/2026","2026-03-07","Sat","Dog Friendly Trail Race","41.5450969","Location: Indiana","-87.063675","3/7/2026","Foot Pursuit 5K Trail Race","https://runsignup.com/Race/IN/Valparaiso/FootPursuit5KTrailRace","Indiana",,,"9:00 AM","9:00","9:00 AM"
"Elk City Lake
 Independence , Kansas 67301
 United States","rec6MeGOwzCrnRRr1","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=rec4VbmtPL6PfTbz3","Event by:","United States","11/28/2025 2:19 PM","########","2026-09-26","Sat","Dog Friendly Trail Race","37.2570295","Location: Kansas","-95.798472","9/26/2026","FlatRock","https://ultrasignup.com/register.aspx?did=132317&fbclid=IwVERDUAOW1MxleHRuA2FlbQIxMABzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR6dtY9lz0xcxKUe7ihKdnWg_qVYo2t5RkZgKNWv6FWkYRLnaB7j0szw2b5DuA_aem_7CBs0prORq1Ibx_wCuBm0g","Kansas",,,"7:00 AM","7:00","7:00 AM"
"19300 Ritter Parkway Trail
 Lakeville, Minnesota 55044
 United States","rec750GtFzRtpZgoQ","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=reckMpoz1AX17JGbV","Event by:","United States","12/13/2025 5:49 PM","2/7/2026","2026-02-07","Sat","Canicross Race","44.6730707","Location: Minnesota","-93.2999672","2/7/2026","Run the Ritter Winter 5K","https://runtheritter.com/","Minnesota",,,"10:00 AM","10:00","10:00 AM"
"Elk City Lake
 Independence , Kansas 67301
 United States","rec8nOIwgGBxgP8tw","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=recFSYMtC57HKqOcD","Event by:","United States","11/28/2025 2:27 PM","########","2026-04-18","Sat","Dog Friendly Trail Race","37.2570295","Location: Kansas","-95.798472","4/18/2026","FlatRock 101","https://ultrasignup.com/register.aspx?did=126832","Kansas",,,"7:00 AM","7:00","7:00 AM"
"1701 Old River Rd
 Columbus, Georgia 31904
 United States","rec9HQB48b6svbR1X","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=recjFfS5j8A7kxhTD","Event by:","United States","11/20/2025 2:57 PM","########","2026-09-19","Sat","Canicross Race","32.5829156","Location: Georgia","-85.0244368","9/19/2026","Standing Boy Trail Festival","https://ultrasignup.com/register.aspx?did=132537","Georgia","10:30","10:30 AM","07:30 AM - 10:30 AM","7:30","7:30 AM"
"8000 Douglas Blvd
 Granite Bay, California 95746
 United States","recA3bL7kz3WeQ5fZ","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=rectoHFyh5uBDVvCL","Event by:","United States","12/5/2025 1:03 PM","########","2026-03-21","Sat","Canicross Race","38.7465717","Location: California","-121.151359","3/21/2026","The Mighty Dog Trail Runs","https://totalbodyfitness.com/site/race/mighty-dog-trail-runs-2026/","California",,,,,
"3855 S 1100 W
 Westville, Indiana 46391
 United States","recBGfhMOgHaFBPTQ","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=recol23D2y2SRceNY","Event by:","United States","11/2/2025 1:15 PM","########","2026-02-21","Sat","Dog Friendly Trail Race","41.5515634","Location: Indiana","-86.9170195","2/21/2026","Yeti Trail Half Marathon","https://raceroster.com/events/2026/108356/yeti-trail-half?fbclid=IwY2xjawN0fUVleHRuA2FlbQIxMABicmlkETFLTDVIbWVGZ1NITTdjNk9rAR6GpKxnDP4QliLzmHphCgm8mV6lkvvz7ZXHk7vXQsLWVDzXBK4BUct8mvIUYw_aem_Kg4HDgGjIstfWTBwS2lkGQ","Indiana",,,"8:00 AM","8:00","8:00 AM"
"3009 Raven Rock Rd
 Lillington, North Carolina 27546
 United States","recByoRJ4delSk9Tl","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=rechOGuuDdzg2vRNL","Event by:","United States","11/12/2025 9:10 AM","1/4/2026","2026-01-04","Sun","Dog Friendly Trail Race","35.4607734","Location: North Carolina","-78.9147461","1/4/2026","Raven Rock Trail Run and Hike","https://runsignup.com/Race/NC/Lillington/RavenRockTrailRunAndHike","North Carolina",,,,,
"7112 N. Lecanto Highway
 Hernando, Florida 34442
 United States","recDja40AlJcbzv3b","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=recGalXKtflCr92Jz","Event by:","United States","5/14/2025 10:49 AM","########","2026-04-19","Sun","Dog Friendly Trail Race","28.9665718","Location: Florida","-82.4011814","4/19/2026","Withlacooche Trail Marathon","https://a1ultraevents.wordpress.com/withlacoochee-moon-river-run/","Florida","14:00","2:00 PM","07:00 AM - 2:00 PM","7:00","7:00 AM"
"Shelter #2, Wyandotte County Lake Park
 Kansas City, Kansas 66109
 United States","recEuFGoJMmTCiPIU","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=rec5l8bvOv0iBeWOX","Event by:","United States","11/28/2025 2:15 PM","########","2026-02-21","Sat","Dog Friendly Trail Race","39.1494106","Location: Kansas","-94.7910643","2/21/2026","Psycho Wyco Run Toto Run","https://ultrasignup.com/register.aspx?did=131210&fbclid=IwVERDUAOW069leHRuA2FlbQIxMABzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR4qV1tsCeaI8jUkI3mC9ztqHZ-9pshsuMKtqkLIvqq0NFWHJobGLqpoo1O2-g_aem_a1LGvTiiZ7ZWzNTv4XWlbA","Kansas",,,"8:00 AM","8:00","8:00 AM"
"200 Terrace Dr
 Pelham, Alabama 35124
 United States","recFu5L70OtazAOHt","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=recSZZSg9jgiLOPSO","Event by:","United States","8/25/2025 11:10 AM","########","2025-12-31","Wed","Dog Friendly Trail Race","33.3267407","Location: Alabama","-86.7561756","12/31/2025","RUN UNDEAD","https://ultrasignup.com/register.aspx?did=126152&fbclid=IwY2xjawMZW65leHRuA2FlbQIxMABicmlkETFOR2lNeEVNZjJzNjNkM2tQAR6dHiz2qmwy5XKjRiQ8JvBZ7idttbHYQSTRdTU90FhWwnMIDbR_TNFnrNmVFA_aem_pzMP2TOBi29pWqz0NMkyng","Alabama",,,,,
"Elk City Lake
 Independence , Kansas 67301
 United States","recGEbEDPSIvLRhCx","https://nacanicross.fillout.com/t/i7gVYy8GSWus?id=recdgJOqpLOGFOipI","Event by:","United States","11/28/2025 10:58 AM","1/3/2026","2026-01-03","Sat","Dog Friendly Trail Race","37.2570295","Location: Kansas","-95.798472","1/3/2026","WinterRock","https://ultrasignup.com/register.aspx?did=132882&fbclid=IwVERDUAOWpUZleHRuA2FlbQIxMABzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR5w7av2CFclDpL_x4XjnNio6WDaTxcTF-ajV-8nKjpu5MYsD_vSKHpXqGSQkA_aem_6kv3Pt_1-JTnEKX9KCM6cA","Kansas",,,"11:00 AM","11:00","11:00 AM"
